EmployerName,EmployeeID,ContributionAmount,ContributionDate,PlanID
Employer_15,3922,1582.84,2025-04-06,P0056
Employer_43,1358,1850.37,2023-02-14,P0026
Employer_29,2810,681.68,2025-01-17,P0045
Employer_36,3371,570.65,2024-04-15,P0054
Employer_13,2721,830.17,2024-07-03,P0026
Employer_32,2349,205.15,2023-05-08,P0021
Employer_7,1164,1638.76,2024-01-23,P0018
Employer_22,2596,1969.93,2023-03-22,P0059
Employer_28,2627,1665.66,2024-07-19,P0029
Employer_2,3845,1154.45,2023-10-28,P0051
Employer_42,3502,661.04,2025-04-29,P0024
Employer_45,2176,475.63,2024-10-05,P0047
Employer_6,2150,791.72,2024-09-25,P0028
Employer_28,1192,1367.24,2024-01-06,P0012
Employer_28,3674,949.42,2024-08-14,P0057
Employer_44,3577,1874.71,2023-07-16,P0011
Employer_44,1091,1723.02,2024-12-22,P0027
Employer_20,1138,294.56,2023-03-13,P0023
Employer_30,1480,349.9,2023-02-16,P0033
Employer_11,3496,1384.85,2024-11-08,P0016
Employer_28,2356,538.46,2023-08-22,P0028
Employer_25,3916,1602.96,2025-03-02,P0028
Employer_39,1339,1223.58,2023-10-24,P0045
Employer_33,2075,536.68,2023-03-23,P0038
Employer_1,3513,1009.5,2023-08-27,P0055
Employer_27,3765,871.54,2023-04-14,P0060
Employer_13,1798,1759.0,2024-01-25,P0006
Employer_41,1474,161.11,2023-10-12,P0042
Employer_3,3448,1802.1,2024-04-09,P0059
Employer_39,2462,1338.96,2024-10-12,P0029
Employer_6,1604,1501.32,2024-01-09,P0034
Employer_8,3979,104.95,2023-06-16,P0057
Employer_27,3969,1293.65,2024-01-15,P0003
Employer_9,1820,1218.12,2023-12-30,P0006
Employer_37,3704,1120.69,2023-08-03,P0048
Employer_33,1597,1593.15,2024-11-17,P0038
Employer_42,2532,1156.16,2023-10-01,P0056
Employer_44,1513,1728.48,2024-12-19,P0013
Employer_24,2526,542.0,2024-11-30,P0036
Employer_15,2877,1631.37,2024-10-25,P0015
Employer_32,2699,440.69,2023-03-15,P0006
Employer_32,2029,1644.92,2024-09-15,P0033
Employer_24,1499,1886.88,2024-10-12,P0041
Employer_41,2684,737.82,2023-06-25,P0012
Employer_49,1716,1106.78,2024-06-30,P0057
Employer_49,2141,1350.83,2025-01-16,P0055
Employer_12,2508,251.0,2023-09-08,P0043
Employer_39,3648,1038.75,2023-06-17,P0013
Employer_2,1665,785.11,2024-04-18,P0033
Employer_3,3515,1757.67,2024-01-24,P0051
Employer_49,3208,1765.69,2023-10-04,P0028
Employer_37,3317,1431.48,2024-10-17,P0053
Employer_49,2079,1345.88,2024-12-05,P0036
Employer_17,1227,1494.01,2024-07-24,P0005
Employer_49,3896,795.38,2023-08-13,P0055
Employer_2,1148,868.59,2024-12-02,P0025
Employer_2,2069,1152.04,2023-11-29,P0017
Employer_28,2167,1882.25,2025-02-25,P0037
Employer_23,1631,1475.6,2025-03-05,P0019
Employer_37,2363,1146.88,2023-02-27,P0035
Employer_32,1412,1563.78,2023-08-23,P0043
Employer_33,2755,804.69,2025-04-21,P0034
Employer_1,1519,1487.89,2023-02-02,P0054
Employer_19,2367,880.28,2025-04-04,P0046
Employer_2,3434,631.36,2023-11-20,P0006
Employer_44,3322,1258.48,2024-02-15,P0019
Employer_26,3400,1405.07,2023-10-02,P0001
Employer_32,2102,972.66,2023-03-09,P0007
Employer_6,1597,1174.45,2023-08-05,P0034
Employer_32,2659,1418.73,2024-08-03,P0056
Employer_4,2685,1558.65,2025-01-05,P0019
Employer_11,3605,1801.59,2023-11-19,P0033
Employer_17,3160,773.63,2023-08-06,P0026
Employer_38,3188,1907.81,2024-11-02,P0041
Employer_24,2924,1310.83,2024-05-26,P0053
Employer_5,1729,1596.63,2024-02-10,P0049
Employer_34,1588,1429.56,2024-10-20,P0042
Employer_6,3458,490.59,2024-04-14,P0027
Employer_22,1376,235.73,2023-05-27,P0038
Employer_11,2407,1479.94,2023-09-29,P0026
